iter	Passed	Remaining
716	1576	622
717	1578	620
718	1580	617
719	1582	615
720	1584	613
721	1586	610
722	1588	608
723	1590	606
724	1592	604
725	1594	601
726	1596	599
727	1597	597
728	1599	594
729	1601	592
730	1603	590
731	1605	587
732	1607	585
733	1609	583
734	1611	580
735	1613	578
736	1615	576
737	1617	574
738	1618	571
739	1620	569
740	1622	567
741	1624	564
742	1626	562
743	1628	560
744	1630	558
745	1632	555
746	1634	553
747	1636	551
748	1638	549
749	1640	546
750	1642	544
751	1644	542
752	1646	539
753	1648	537
754	1650	535
755	1652	533
756	1654	530
757	1656	528
758	1658	526
759	1659	524
760	1661	521
761	1663	519
762	1665	517
763	1667	515
764	1669	512
765	1671	510
766	1673	508
767	1675	506
768	1677	503
769	1679	501
770	1680	499
771	1682	497
772	1684	494
773	1686	492
774	1688	490
775	1690	487
776	1692	485
777	1694	483
778	1696	481
779	1698	479
780	1700	476
781	1702	474
782	1704	472
783	1706	470
784	1708	467
785	1710	465
786	1712	463
787	1714	461
788	1716	458
789	1718	456
790	1720	454
791	1722	452
792	1724	450
793	1726	447
794	1728	445
795	1730	443
796	1731	441
797	1734	438
798	1735	436
799	1737	434
800	1739	432
801	1741	429
802	1743	427
803	1745	425
804	1746	423
805	1749	420
806	1750	418
807	1752	416
808	1754	414
809	1756	412
810	1758	409
811	1760	407
812	1762	405
813	1764	403
814	1766	401
815	1768	398
816	1770	396
817	1772	394
818	1774	392
819	1776	390
820	1778	387
821	1780	385
822	1782	383
823	1784	381
824	1786	378
825	1788	376
826	1790	374
827	1791	372
828	1793	369
829	1795	367
830	1797	365
831	1799	363
832	1801	361
833	1803	358
834	1805	356
835	1807	354
836	1809	352
837	1811	350
838	1813	348
839	1815	345
840	1817	343
841	1819	341
842	1821	339
843	1823	337
844	1825	334
845	1827	332
846	1829	330
847	1831	328
848	1833	326
849	1835	323
850	1837	321
851	1839	319
852	1841	317
853	1843	315
854	1845	313
855	1847	310
856	1849	308
857	1851	306
858	1854	304
859	1856	302
860	1858	300
861	1861	297
862	1863	295
863	1865	293
864	1867	291
865	1869	289
866	1871	287
867	1874	285
868	1876	282
869	1878	280
870	1880	278
871	1882	276
872	1884	274
873	1886	271
874	1888	269
875	1889	267
876	1891	265
877	1893	263
878	1895	260
879	1897	258
880	1899	256
881	1900	254
882	1902	252
883	1904	249
884	1906	247
885	1908	245
886	1910	243
887	1912	241
888	1914	239
889	1916	236
890	1918	234
891	1919	232
892	1921	230
893	1924	228
894	1925	225
895	1927	223
896	1929	221
897	1931	219
898	1933	217
899	1935	215
900	1937	212
901	1939	210
902	1941	208
903	1943	206
904	1944	204
905	1946	201
906	1948	199
907	1950	197
908	1952	195
909	1954	193
910	1956	191
911	1958	188
912	1960	186
913	1962	184
914	1963	182
915	1965	180
916	1967	178
917	1969	175
918	1971	173
919	1973	171
920	1975	169
921	1977	167
922	1979	165
923	1981	162
924	1983	160
925	1985	158
926	1987	156
927	1989	154
928	1991	152
929	1993	150
930	1994	147
931	1996	145
932	1998	143
933	2000	141
934	2002	139
935	2004	137
936	2006	134
937	2008	132
938	2010	130
939	2012	128
940	2014	126
941	2016	124
942	2018	122
943	2020	119
944	2022	117
945	2024	115
946	2026	113
947	2028	111
948	2030	109
949	2032	106
950	2034	104
951	2036	102
952	2038	100
953	2040	98
954	2042	96
955	2044	94
956	2046	91
957	2048	89
958	2050	87
959	2052	85
960	2054	83
961	2056	81
962	2058	79
963	2060	76
964	2062	74
965	2064	72
966	2065	70
967	2067	68
968	2069	66
969	2071	64
970	2073	61
971	2075	59
972	2077	57
973	2079	55
974	2081	53
975	2083	51
976	2084	49
977	2086	46
978	2088	44
979	2090	42
980	2092	40
981	2094	38
982	2096	36
983	2098	34
984	2099	31
985	2101	29
986	2103	27
987	2105	25
988	2107	23
989	2109	21
990	2111	19
991	2113	17
992	2115	14
993	2117	12
994	2118	10
995	2120	8
996	2122	6
997	2124	4
998	2127	2
999	2129	0
